pcf_index,pcf_team,tm_team,competition,mapping_score,squad_value_eur,team_value_eur,strength_0_100
6,Extremadura,Real Madrid,ES1,1.0000,1356000000,1360000000,100.00
8,Espanyol B,FC Barcelona,ES1,0.8571,1110400000,1110000000,97.61
1,Sturm Graz,Atlético de Madrid,ES1,0.9500,584000000,584000000,89.94
3,Halmstads,Athletic Bilbao,ES1,0.8000,304000000,304000000,82.15
21,Espanyol,Villarreal CF,ES1,0.9152,256000000,256000000,80.10
27,Barcelona B,Real Sociedad,ES1,1.0000,250200000,250200000,79.83
4,Zalla,Real Betis Balompié,ES1,0.6611,228300000,228300000,78.73
11,Nimes,Valencia CF,ES1,0.8974,171000000,171000000,75.28
10,Zamudio,Girona FC,ES1,0.6971,155800000,155800000,74.17
18,Xerez,Celta de Vigo,ES1,0.7583,146900000,146900000,73.47
9,Zaragoza,Sevilla FC,ES1,0.8853,131850000,131850000,72.18
2,Gramenet,RCD Espanyol Barcelona,ES1,0.6676,110700000,110700000,70.09
40,Fenerbahce,Rayo Vallecano,ES1,0.6214,108800000,108800000,69.88
20,Deportivo B,CA Osasuna,ES1,0.8000,94000000,94000000,68.14
19,Jugadores Libres,Elche CF,ES1,0.8500,86800000,86800000,67.19
16,Leganés,Levante UD,ES1,0.8853,86650000,86650000,67.17
7,Talavera,RCD Mallorca,ES1,0.6750,85400000,85400000,66.99
17,Aurrerá,Getafe CF,ES1,0.8700,80900000,80900000,66.35
14,Orense,Real Oviedo,ES1,0.7588,65125000,65130000,63.76
5,Zaragoza B,Deportivo Alavés,ES1,0.8000,65000000,65000000,63.74
35,Rapid Viena,Deportivo de La Coruña,ES2,0.6804,53800000,53800000,61.48
39,Sao Paulo,UD Almería,ES2,0.8353,46400000,46400000,59.71
26,River,Racing Santander,ES2,0.8000,46325000,46330000,59.69
48,Fiorentina,UD Las Palmas,ES2,0.8652,44300000,44300000,59.16
22,Vaduz,Real Valladolid CF,ES2,0.7643,32575000,32580000,55.49
38,RSD Alcalá,Sporting Gijón,ES2,0.3350,26900000,26900000,53.20
36,Chemlon H.,Real Zaragoza,ES2,0.7952,24850000,24850000,52.26
51,Barakaldo,Cádiz CF,ES2,0.8500,24800000,24800000,52.23
31,Tenerife,CD Leganés,ES2,0.8353,22900000,22900000,51.28
23,P.S.G.,Granada CF,ES2,0.8853,21900000,21900000,50.75
25,Mérida,Burgos CF,ES2,0.7286,19500000,19500000,49.36
133,Montpellier,CD Mirandés,ES2,0.6971,18950000,18950000,49.02
43,Apoel Nicosia,Málaga CF,ES2,0.8700,17600000,17600000,48.14
30,Göteborg,FC Andorra,ES2,0.8353,17250000,17250000,47.90
50,Lyngby,CD Castellón,ES2,0.8571,17200000,17200000,47.87
28,Eibar,SD Eibar,ES2,0.8000,16050000,16050000,47.04
29,Melilla,Córdoba CF,ES2,0.8853,15800000,15800000,46.85
13,San Pedro,SD Huesca,ES2,0.8200,15050000,15050000,46.27
256,Gloria Bistrita,Cultural Leonesa,ES2,0.7167,13150000,13150000,44.66
257,Botafogo,AD Ceuta FC,ES2,0.6750,12450000,12450000,44.01
24,Mallorca,Albacete Balompié,ES2,0.8000,12050000,12050000,43.62
55,Varteks,Real Sociedad B,ES2,0.7778,8900000,8900000,40.00
